"Id","PartNumber","Name","Price","Unit","Photopath","VendorId"
"1","CONSCIO-QJKTAP-674-672130","Conscious Solar Corona National","588.75","megajoules per square meter (MJ/m²)","c:\users\ethanconscio\conscious-solar-corona-national.ico","7"
"2","9030-TUERZDTK-594-ATHLET","Athletic Equatorial Coordinate System Regression","6950.93","megajoules per square foot (MJ/ft²)","d:\users\heidi9030\athletic-equatorial-coordinate-system-regression.jpg","10"
"3","DRAM-39380-GUSBDX-940","Dramatic Eccentric Aboriginal","4787.98","square meter (m²)",,"3"
"4","NER-269-30590-QYDWDZH","Nervous Extended Supersymmetry Separation","5009.05","metric ton (ton)",,"10"
"5","GENE-5032-795460-LGFJNBY","Generous Helmholtz-Kelvin Contraction","30778.23","kilobtu per square foot (kBTU/ft²)","c:\users\lillygene\generous-helmholtz-kelvin-contraction.jpg","8"
"6","SWNPHMNA-7505-93310-OBVI","Obvious Intracluster Medium Notion","754.94","hour (hr)","c:\users\stevenswnphmna\obvious-intracluster-medium-notion.gif","2"
"7","BAIL-7270-HKZUTRIP-3428","Bailey Population","383.59","inch (in)","d:\users\leahbail\bailey-population.gif","5"
"8","AQUA-508470-RRHYXVK-393","Aquatic Hertzsprung Version","1755.78","imperial gallon (galUK)",,"9"
"9","PREC-3441-383610-LMYOP","Precious Oxide Integration","4931.58","day day ()","c:\users\jackprec\precious-oxide-integration.gif","5"
"10","SYSTE-OVBTVC-8930-566590","Systematic Supergalactic Longitude Information","118.29","ohm (Ω)","c:\users\barbarsyste\systematic-supergalactic-longitude-information.jpg","6"
"11","FABULO-DWBFVJUA-947-8870","Fabulous Saturn Gibraltar","9476.17","kilovolt ampere hour (kVAh)",,"1"
"12","AQUA-3207-82240-RHDFIQ","Aquatic Stellar Black Actor","417.45","watts per square meter (W/m²)",,"6"
"13","6146-9709060-AVWOYNJ-ARC","Arctic Solar Atmosphere Fiction","590.11","hertz (Hz)","c:\users\joe6146\arctic-solar-atmosphere-fiction.ico","1"
"14","STAN-6420-831090-JLZUB","Stanley Gravitational Astronomy Preparation","22517.84","horsepower (hp)","c:\users\gregorstan\stanley-gravitational-astronomy-preparation.ico","3"
"15","5740-VCKOG-507-NERV","Nervous Extra Pursuit","22000.26","watts per square meter (W/m²)","c:\users\britta5740\nervous-extra-pursuit.bmp","10"
"16","RWCBZXXT-8539-5320-HAR","Harley Comparison Allocation","2421.02","megahertz (MHz)","c:\users\zacharrwcbzxxt\harley-comparison-allocation.jpeg","10"
"17","ACOUST-7397-5871720-ORUCM","Acoustic Cocoon Revision","37824.44","cycles per hour (cph)","d:\users\graceacoust\acoustic-cocoon-revision.ico","8"
"18","461650-ZHNSS-4037-COSMET","Cosmetic Sunspot Number Revision","3062.91","watt hour (Wh)","c:\users\sara461650\cosmetic-sunspot-number-revision.jpeg","2"
"19","ZAPZKTD-813-64570-SYSTEMAT","Systematic Bright Nebulae Presentation","2288.08","kilometer (km)","d:\users\danielzapzktd\systematic-bright-nebulae-presentation.jpeg","6"
"20","ATLA-456-8640-JAJOXSZ","Atlantic String Theory Subsection","28012.28","kilovolt ampere (kVA)","c:\users\joeatla\atlantic-string-theory-subsection.png","1"
"21","COS-7615-67650-CRYZSPH","Cosmetic Dobsonian Description","1669.48","gigawatt (GW)","c:\users\jadecos\cosmetic-dobsonian-description.ico","2"
"22","AQYJNCS-1482-9490-CEL","Celtic Deceleration Parameter Petition","6422.59","metric ton (ton)","d:\users\brookeaqyjncs\celtic-deceleration-parameter-petition.bmp","6"
"23","MFUDKLYW-8343-946030-HARL","Harley Microgravity Configuration","661.52","volt ampere (VA)",,"1"
"24","IBZACA-6150-26240-CONS","Conscious Galactic Pitch Angle Annotation","5680.64","kilowatt hour (kWh)","c:\users\keithibzaca\conscious-galactic-pitch-angle-annotation.png","3"
"25","351-49090-SDFVNWO-CONSC","Conscious Collimation","561.63","farad (F)","d:\users\kevin351\conscious-collimation.png","10"
"26","ENOR-6754-22630-NDIYIO","Enormous Head-tail Calculator","3041.44","imperial gallon (galUK)","c:\users\levienor\enormous-head-tail-calculator.png","10"
"27","FABU-XSHSVA-1503-9380","Fabulous Single X-ray Variation","297.96","fluid ounce (fl oz)","d:\users\terryfabu\fabulous-single-x-ray-variation.gif","7"
"28","ETMRS-9766-9130-TRE","Tremendous Uranian Annotation","11234.88","grams per square meter (g/m²)","d:\users\loganetmrs\tremendous-uranian-annotation.jpeg","9"
"29","TRLPOORP-9207-9110-ARTIST","Artistic AdS/CFT Correspondence Transformation","29818.05","square yard (yd²)","d:\users\jasontrlpoorp\artistic-ads/cft-correspondence-transformation.jpeg","9"
"30","IHPXX-174-366360-COS","Cosmetic Solar System Dwarf Construction","23210.97","kilobyte (kB)",,"10"
